ACRR	ACRR	-	
ADA	ADA	+	
ADA	ADA	-	
ADA	AIDB	+	
ADIY	GADX	+	
AGAR	AGAR	-	
AIDB	AIDB	-	
ALAS	ALAS	-	
ALLR	ALLS	-	
ALSR	RPIR	-	
ARAC	ARAC	+	
ARAC	ARAC	+-	
ARAC	ARAC	-	
ARCA	BETI	-	
ARCA	DPIA	+	
ARCA	FNR	-	
ARCA	GADE	+	
ARCA	GADX	+	
ARCA	LLDR	-	
ARCA	PUUR	-	
ARCA	XYLR	+	
ARGP	ARGP	-	
ARGP	DNAA	+	
ARGR	ARGR	-	
ARSR	ARSR	-	
ASCG	PRPR	-	
ASNC	ASNC	-	
BAER	BAER	+	
BASR	CSGD	+	
BASR	PUTA	-	
BASR	QSEB	+	
BETI	BETI	-	
CRP	ARAC	+	
CRP	CAIF	+	
CRP	CHBR	+	
CRP	COMR	-	
CRP	CRP	+	
CRP	CRP	-	
CRP	CSGD	+	
CRP	CYTR	+-	
CRP	DCUR	+	
CRP	DPIA	-	
CRP	FEAR	+	
CRP	FIS	+	
CRP	FIS	+-	
CRP	FLHC	+	
CRP	FLHD	+	
CRP	FUCR	+	
CRP	FUR	+	
CRP	GADE	-	
CRP	GADX	-	
CRP	GALS	+	
CRP	GLCC	+	
CRP	GLNG	+	
CRP	GLNG	-	
CRP	GLPR	+	
CRP	GUTM	+	
CRP	HUPA	+	
CRP	HUPB	+	
CRP	HYFR	+	
CRP	IDNR	+	
CRP	LACI	+	
CRP	LSRR	+	
CRP	MALI	+	
CRP	MALI	-	
CRP	MALT	+	
CRP	MARA	+	
CRP	MARR	+	
CRP	MAZE	+	
CRP	MAZF	+	
CRP	MELR	+	
CRP	MHPR	+	
CRP	MLC	+	
CRP	MLC	-	
CRP	MTLR	+	
CRP	NAGC	+-	
CRP	OMPR	+	
CRP	OMPR	-	
CRP	OXYR	+	
CRP	PDHR	+	
CRP	PRPR	+	
CRP	PUUR	-	
CRP	RBSR	+	
CRP	RHAR	+	
CRP	RHAS	+	
CRP	SRLR	+	
CRP	TDCA	+	
CRP	UXUR	+	
CRP	XYLR	+	
CRP	YIAJ	-	
CRP	ZRAR	+	
CADC	CADC	+	
CDAR	CDAR	+	
CHBR	CHBR	+-	
CPXR	BAER	+	
CPXR	CPXR	+	
CPXR	CSGD	-	
CRA	BETI	+	
CRA	CSGD	+	
CRA	GLCC	-	
CRA	MARA	-	
CRA	MARR	-	
CRA	MTLR	-	
CRA	PDHR	-	
CSGD	CSGD	+	
CSGD	CSGD	?	
CSPA	HNS	+	
CUSR	CUSR	+	
CYNR	CYNR	-	
CYSB	CBL	+	
CYSB	CYSB	-	
CYTR	CYTR	-	
DAN	TTDR	+	
DCUR	DPIA	+	
DHAR	DHAR	-	
DINJ-YAFQ	DINJ	-	
DINJ-YAFQ	YAFQ	-	
DNAA	DNAA	+-	
DNAA	DNAA	-	
DPIA	APPY	-	
DPIA	DPIA	+	
DSDC	DSDC	-	
EVGA	EVGA	+	
EVGA	GADE	+	
EVGA	YDEO	+	
EXUR	EXUR	-	
EXUR	UXUR	-	
FNR	ARCA	+	
FNR	ARCA	-	
FNR	CADC	+	
FNR	CAIF	+	
FNR	DCUR	+	
FNR	DPIA	-	
FNR	FHLA	+	
FNR	FNR	-	
FNR	GADW	-	
FNR	GADX	-	
FNR	HYFR	-	
FNR	NAC	-	
FNR	NARL	-	
FNR	NIKR	+	
FNR	PDHR	+-	
FNR	SOXR	-	
FNR	SOXS	-	
FNR	TDCA	+	
FNR	YEIL	-	
FNR	YQJI	+	
FADR	FADR	+	
FADR	ICLR	+	
FHLA	FHLA	+	
FHLA	HYFR	+	
FIS	CRP	-	
FIS	FIS	-	
FIS	GADX	-	
FIS	GLCC	-	
FIS	GLNG	+	
FIS	HNS	+	
FIS	HUPA	+	
FIS	HUPB	-	
FIS	MARA	+	
FIS	MARR	+	
FIS	MAZE	+	
FIS	MAZF	+	
FIS	MTLR	-	
FIS	XYLR	-	
FLHDC	FLIZ	+	
FLIZ	CSGD	-	
FLIZ	FLHC	-	
FLIZ	FLHD	-	
FLIZ	GADE	-	
FLIZ	MLRA	-	
FUCR	FUCR	+	
FUR	FLHC	-	
FUR	FLHD	-	
FUR	FNR	-	
FUR	FUR	-	
FUR	METJ	-	
FUR	NAC	-	
FUR	PURR	-	
FUR	SOXR	-	
FUR	SOXS	-	
GADE	GADE	+	
GADE	GADW	+	
GADE	GADX	+	
GADE	LRP	+	
GADE	RCSA	+	
GADE-RCSB	GADX	+	
GADW	GADE	+	
GADW	GADW	-	
GADW	GADX	+-	
GADW	GADX	-	
GADX	GADE	+	
GADX	GADW	+	
GADX	GADW	-	
GADX	GADX	+	
GADX	HNS	+	
GALR	GALR	-	
GALR	GALS	-	
GALS	GALR	-	
GALS	GALS	-	
GCVA	GCVA	-	
GLCC	GLCC	-	
GNTR	IDNR	-	
GUTM	GUTM	+	
GUTM	SRLR	+	
GUTR	GUTM	-	
GUTR	SRLR	-	
H-NS	ADIY	-	
H-NS	APPY	-	
H-NS	BGLJ	-	
H-NS	BOLA	-	
H-NS	CADC	-	
H-NS	CAIF	-	
H-NS	EVGA	-	
H-NS	FLHC	+	
H-NS	FLHD	+	
H-NS	FLIZ	+	
H-NS	GADE	-	
H-NS	GADW	-	
H-NS	GADX	-	
H-NS	GUTM	+	
H-NS	HDFR	-	
H-NS	HNS	-	
H-NS	LEUO	-	
H-NS	LRP	-	
H-NS	MAZE	+	
H-NS	MAZF	+	
H-NS	NHAR	-	
H-NS	RCSA	-	
H-NS	RCSB	-	
H-NS	SRLR	+	
H-NS	STPA	-	
H-NS	YDEO	-	
HCAR	HCAR	-	
HDFR	FLHC	-	
HDFR	FLHD	-	
HIPAB	HIPA	-	
HIPAB	HIPB	-	
HIPB	HIPA	-	
HIPB	HIPB	-	
HYFR	HYFR	+	
IHF	CSGD	+	
IHF	FHLA	+	
IHF	FIS	+	
IHF	FLHC	-	
IHF	FLHD	-	
IHF	FNR	+	
IHF	HIPA	+	
IHF	HIPB	+	
IHF	IHFA	-	
IHF	IHFB	-	
IHF	OMPR	-	
IHF	TDCA	+	
IHF	YEIL	+	
IHF	YIAJ	-	
ICLR	ICLR	-	
IDNR	IDNR	+	
ILVY	ILVY	-	
ISCR	ISCR	-	
LEUO	BGLJ	+	
LEUO	CADC	-	
LEUO	LEUO	+	
LEUO	LEUO	+-	
LEXA	DINJ	-	
LEXA	LEXA	-	
LEXA	YAFQ	-	
LLDR	LLDR	+-	
LLDR	LLDR	-	
LRHA	FLHC	-	
LRHA	FLHD	-	
LRHA	LRHA	+	
LRP	AIDB	-	
LRP	LRP	-	
LRP	MALT	+	
LRP	STPA	+	
LRP	YEIL	+	
LSRR	LSRR	-	
LYSR	LYSR	-	
MALI	MALI	-	
MARA	MARA	+	
MARA	MARR	+	
MARA	PUTA	+	
MARA	ROB	-	
MARR	MARA	-	
MARR	MARR	-	
MATA	ECPR	+	
MATA	FLHC	-	
MATA	FLHD	-	
MATA	FLIZ	-	
MAZE	MAZE	-	
MAZE	MAZF	-	
MAZE-MAZF	MAZE	-	
MAZE-MAZF	MAZF	-	
MELR	MELR	+	
MELR	MELR	-	
METJ	METR	-	
METR	METR	-	
MLC	MALT	-	
MLC	MLC	-	
MLRA	CADC	+	
MLRA	CSGD	+	
MNGR	MNGR	-	
MODE	NARL	+	
MPRA	MPRA	-	
MQSA	MQSA	-	
MQSA	MQSR	-	
MTLR	MTLR	-	
MURR	MURR	+-	
NAC	ASNC	-	
NAC	FEAR	+	
NAC	NAC	-	
NAGC	CHBR	-	
NAGC	CREB	-	
NAGC	NAGC	-	
NARL	CAIF	-	
NARL	DCUR	-	
NARL	DPIA	-	
NARL	NIKR	-	
JADXR	NEMR	-	
NHAR	NHAR	+	
NHAR	NHAR	?	
NIKR	NIKR	-	
NORR	NORR	-	
NSRR	DSDC	-	
NSRR	FEAR	-	
NSRR	FHLA	-	
NSRR	FLIZ	-	
NSRR	IHFA	-	
NSRR	LRP	-	
NSRR	NORR	-	
NTRC	CBL	+	
NTRC	GLNG	+	
NTRC	GLNG	-	
NTRC	NAC	+	
OMPR	BOLA	-	
OMPR	CSGD	+	
OMPR	FLHC	-	
OMPR	FLHD	-	
OXYR	FUR	+	
OXYR	OXYR	-	
PDHR	PDHR	-	
PEPA	PEPA	-	
PHOB	ARGP	+	
PHOB	CRA	-	
PHOB	CUSR	+	
PHOB	FEAR	-	
PHOB	GADW	+	
PHOB	GADX	+	
PHOB	PHOB	+	
PHOB	PRPR	-	
PHOB	YDFH	+	
PHOP	CYSB	+	
PHOP	GADE	+	
PHOP	GADW	+	
PHOP	PHOP	+	
PHOP	PHOP	-	
PHOP	RSTA	+	
PHOP	TRER	-	
PHOP	YDEO	-	
PRPR	PRPR	-	
PSPF	PSPF	-	
PURR	PURR	-	
PUTA	PUTA	-	
PUUR	PUUR	-	
QSEB	FLHC	+	
QSEB	FLHD	+	
QSEB	QSEB	+	
RBSR	RBSR	-	
RCDA	CSGD	+	
RCNR	RCNR	-	
